comment,score,sentiment,account_type
I love that she’s your hype girl ! Yay,0.6,Positive,Healthcare Professional
🥰🥰🥰,0.6,Positive,Healthcare Professional
"The death stare says everything that’s needed!! Thanks for sharing, I’m sure we’ve all felt like that at some point! ♥️",0.3,Positive,Healthcare Professional
My babes lookinh good. I need your camera set up,0.2,Neutral,Healthcare Professional
Side bar - hair is 😍😍😍,0.5,Positive,Healthcare Professional
❤️❤️❤️❤️,0.5,Positive,Healthcare Professional
❤️❤️❤️,0.5,Positive,Healthcare Professional
❤️😘,0.5,Positive,Healthcare Professional
yogurt bowls are delicious!!😻,0.6,Positive,Food & Beverage
idk if those were chia seeds but if they are please make sure to let them sit in water for 30 minutes because if you eat them dry they can give you kidney stones,-0.1,Neutral,Food & Beverage
OBSESSED WITH YOU,0.9,Positive,Food & Beverage
🔥🤩❤️,0.8,Positive,Food & Beverage
So proud of you!,0.7,Positive,Food & Beverage
👏😍🔥,0.7,Positive,Food & Beverage
Looks great 🥰 What was the weight?,0.4,Positive,Food & Beverage
🔥🔥🔥🔥,0.9,Positive,Food & Beverage
You go girl! Love it!! 🙌🏼💪🏼💪🏼 goals!!! Keep it up 🙌🏼,0.9,Positive,Food & Beverage
2023 😍,0.8,Positive,Food & Beverage
"Congrats, keep going 💪🏽",0.6,Positive,Food & Beverage
That’s amazing !!! 🔥💪🏻,0.7,Positive,Food & Beverage
Sad for hr health,-0.5,Negative,Food & Beverage
how much of a deficit were u in and how much did u lose?🤔,0,Neutral,Fitness Coach / Gym
Question. How long did you work out per session?,0,Neutral,Fitness Coach / Gym
What exercises did you do,0,Neutral,Fitness Coach / Gym
Awesome 👏,0.5,Positive,Fitness Coach / Gym
I wish someone teach me 😩,-0.3,Negative,Fitness Coach / Gym
❤️❤️❤️❤️,0.5,Positive,Fitness Coach / Gym
I might needyouto be my personal motivator and helper 🥰🥰🥰🥰,0.8,Positive,Healthcare Professional
keep going we need to support ones who need fitness support,0.4,Positive,Healthcare Professional
You're killing it 💅,0.7,Positive,Healthcare Professional
YOU GO GIRL!!!!! 🎉,0.9,Positive,Healthcare Professional
W,0.1,Neutral,Healthcare Professional
Keep it up 🌞! Text us on IG or email if you want to join our team of ambassadors,0.5,Positive,Healthcare Professional
Hello! Collab? Follow us,0.2,Neutral,Healthcare Professional
Love your content! Let’s collab. DM me!📨,0.6,Positive,Healthcare Professional
Gorgeous family ❤️❤️❤️,0.8,Positive,Other
well done Joel mate xx,0.5,Positive,Other
Wow what a transformation xx,0.6,Positive,Other
🥰🥰🥰🥰,0.9,Positive,Other
🥰,0.7,Positive,Other
❤️❤️❤️,0.5,Positive,Other
Congrats👏💖 girl I also lost 40lbs this year and now I’m stuck at the same weight😩 I wanted to lose 30more!,0.1,Neutral,Food & Beverage
🔥🔥🔥 where do you get your jeans from?,0.3,Positive,Food & Beverage
CONGRATSS! I also lost around 50+lbs this year but I've been stuck and still trying to lose 10 more lbs😭,0,Neutral,Food & Beverage
Where did u get all ur jeans from 😭,-0.1,Neutral,Food & Beverage
what are the shoes on november ? lol☺️,0.2,Neutral,Food & Beverage
Amazing! ❤️What changes did you make? 🤍,0.5,Positive,Food & Beverage
What did you do ?,0,Neutral,Food & Beverage
omg u look amazing 😭🥰 !! may i ask ur height hehe,0.4,Positive,Food & Beverage
Where you get December jeans at lol 😍,0.3,Positive,Food & Beverage
You motivated me to post mine! ❤️❤️,0.6,Positive,Food & Beverage
You look great girl 🙌🏼,0.5,Positive,Food & Beverage
Baddie all year round😍,0.5,Positive,Food & Beverage
What color febuary and march shoes?,0,Neutral,Food & Beverage
September and November shoes ??,0,Neutral,Food & Beverage
I can’t wait to do this with my fitness journey this year!! You look amazing btw,0.5,Positive,Food & Beverage
Awesome job!! Keep it up!,0.6,Positive,Food & Beverage
Wow congrats!! You look amazing 🥰,0.6,Positive,Food & Beverage
Omg amazing! Thank you for sharing!💚,0.5,Positive,Food & Beverage
Okaaaa girl💕 u go,0.5,Positive,Food & Beverage
"That’s amazing!! You did that, keep going!!! 👏🏼🔥",0.7,Positive,Food & Beverage
Amazing girl!! 🔥 Keep it up,0.6,Positive,Food & Beverage
Amazing work😍,0.5,Positive,Food & Beverage
Yess girl! Congrats 💕,0.6,Positive,Food & Beverage
🥰🥰🥰 You go mamas.,0.7,Positive,Food & Beverage
Congrats! 👏😍,0.8,Positive,Food & Beverage
Congratulations 🎉,0.6,Positive,Food & Beverage
I love this beautiful and healthy transformation! What was your routine?,0.7,Positive,Food & Beverage
Where did you get Decembers jeans,0,Neutral,Food & Beverage
The difference even just January-April is insane! You have clearly worked very hard this year you should feel proud!!,0.9,Positive,Food & Beverage
where are the first jeans from!,0,Neutral,Food & Beverage
Looking amazing !!,0.8,Positive,Food & Beverage
Wow 🔥🔥🔥,0.9,Positive,Food & Beverage
U go girl! 🔥,0.8,Positive,Food & Beverage
Amazing!!!,0.9,Positive,Food & Beverage
Congrats,0.6,Positive,Food & Beverage
omggg this is so inspiring,0.8,Positive,Food & Beverage
Yess girlie ✨🥰,0.9,Positive,Food & Beverage
🔥,0.5,Positive,Food & Beverage
👏🏻👏🏻,0.4,Positive,Food & Beverage
👏👏👏,0.4,Positive,Food & Beverage
👏👏👏👏,0.5,Positive,Food & Beverage
🙌🏽🔥,0.7,Positive,Food & Beverage
🤝🤝🤝,0.2,Neutral,Food & Beverage
❣️❣️❣️,0.6,Positive,Food & Beverage
🥰,0.7,Positive,Food & Beverage
👏🏻👏🏻👏🏻💪🏻,0.8,Positive,Food & Beverage
👏,0.3,Positive,Food & Beverage
You look amazing! Random question…Do you have body dysmorphia? I’ve lost 65 pounds and still feel like I weigh it,0.3,Positive,Food & Beverage
this is my sign to lock in,0.4,Positive,Food & Beverage
😍😍😍😍😍,1,Positive,Food & Beverage
😍😍😍😍,1,Positive,Food & Beverage
I'm down 35 and I still look the damn same 😭😭😭,-0.3,Negative,Food & Beverage
January jeans?,0,Neutral,Food & Beverage
Okay but boddy teaa ☕️to begin with !,0.2,Neutral,Food & Beverage
😩😩😩,-0.3,Negative,Food & Beverage
I’m still in the YO yo diet 😢,-0.4,Negative,Food & Beverage
Girl I’m tryna loose forty lbs in a month don’t kill my delusions 😩,-0.5,Negative,Food & Beverage
😂,0.5,Positive,Food & Beverage
"U need to change ur style, proud of you but it only looks like 10-20 bc ur not hugging your body right! Hope u dont take this wrong xx",-0.1,Neutral,Food & Beverage
damn January still look good 😫,0.3,Positive,Food & Beverage
kendricksockey mississippiss 😅😅😅,0.1,Neutral,Food & Beverage
I have one of these… but of getting bigger and bigger,-0.3,Negative,Food & Beverage
"Hi, wanna collaborate. DM me!!💕",0.6,Positive,Food & Beverage
تحسسك سهل 😍💔,0.4,Positive,Food & Beverage
Thank you for sharing this,0.5,Positive,Fitness Coach / Gym
💝💝💝,1,Positive,Fitness Coach / Gym
My mom is black and if I gain a pound she does the same until this day 😭,-0.4,Negative,Fitness Coach / Gym
Bud bud,0,Neutral,Fitness Coach / Gym
what did you do you look amazing,0.5,Positive,Fitness Coach / Gym
What did you doooo,0.5,Positive,Fitness Coach / Gym
😳,0.2,Neutral,Fitness Coach / Gym
😭,-0.5,Negative,Fitness Coach / Gym
❤️❤️❤️,0.5,Positive,Fitness Coach / Gym
🤩🤩🤩,1,Positive,Fitness Coach / Gym
🙏🙏🙏,0.5,Positive,Fitness Coach / Gym
🥰,0.7,Positive,Fitness Coach / Gym
😍😍😍,1,Positive,Fitness Coach / Gym
I gyat something in my,-0.1,Neutral,Fitness Coach / Gym
"When I was 18 (2023) I was the biggest I have ever been (84kg) , now in 2025 I’m fluctuating between 70kg and 50kg . I’m currently 50kg , 5’6 . Is there something wrong ?",-0.3,Negative,Fitness Coach / Gym
Is 18 the Teenage Body ?,0,Neutral,Fitness Coach / Gym
❤️,0.5,Positive,Fitness Coach / Gym
😁😁😁,0.8,Positive,Fitness Coach / Gym
how much you are tall bro?,0,Neutral,Other
👏👏,0.5,Positive,Other
Your style is fire! DM to collab.💌,0.9,Positive,Other
"Hi, collab? Follow us",0.5,Positive,Other
How 🙁,-0.3,Negative,Food & Beverage
how did she lose me,-0.2,Neutral,Food & Beverage
How did you do it in 4 months? And you go girl 💪,0.7,Positive,Food & Beverage
The glow up,0.6,Positive,Food & Beverage
How did one lose my body weight?,-0.1,Neutral,Food & Beverage
mais ce n'est pas elle 😂,0.3,Positive,Food & Beverage
what us ur diet ??,0,Neutral,Food & Beverage
pls help me .. say howww 😭😭😭😭,-0.4,Negative,Food & Beverage
How did u do it please,0.2,Neutral,Food & Beverage
Please share your journey,0.3,Positive,Food & Beverage
do you go to the gym,0,Neutral,Food & Beverage
How?🥹,0,Neutral,Food & Beverage
How long did it take to see,0,Neutral,Food & Beverage
how,0,Neutral,Food & Beverage
"это все очень круто, но для здоровья убийственно... среди анорексичек есть понятие — кп (компульсивное переедание) и если так резко худеть, оно может вернуть прежний вес, или даже больше",-0.5,Negative,Food & Beverage
🤭🤭🤭,0.3,Positive,Food & Beverage
🥰,0.7,Positive,Food & Beverage
🖤,0.2,Neutral,Food & Beverage
😁😁😁,0.8,Positive,Food & Beverage
😊😊😊,0.7,Positive,Food & Beverage
♥️,0.5,Positive,Food & Beverage
😭,-0.5,Negative,Food & Beverage
@❤️❣️,0.4,Positive,Food & Beverage
🖤🖤🖤🖤,0.2,Neutral,Food & Beverage
Bullshit that's impossible.,-0.7,Negative,Food & Beverage
3 kilos in 1 week? wasn't that a bit fast? 😅❤,0.1,Neutral,Food & Beverage
"Girl, you aged backwards! Congrats",0.9,Positive,Food & Beverage
Did U have any lose fat or idk how that's called? 😭,-0.3,Negative,Food & Beverage
"The Slimmax Coffee from Cosmeto Nature, it’s magical, I’ve lost 2 kg in 4 days!",0.9,Positive,Food & Beverage
"I prepare natural organic herbal medicine🌿to Cure different kind of Disease or Virus bacteria like,STD, Cancer,Diabetes,Fibroid,parkinson's disease,Arthritis,Blood Pressure,Hiv,Heart fatty liver🙏🙏",0.4,Positive,Food & Beverage
they are sisters,0,Neutral,Food & Beverage
😂😂😂,0.3,Positive,Food & Beverage
😆,0.4,Positive,Food & Beverage
if I lost 45kg I would be 0 pounds 😍,0.6,Positive,Food & Beverage
UQUE.,0,Neutral,Food & Beverage
45KG??????,0,Neutral,Food & Beverage
that sounds high calorie tbh,-0.3,Negative,Fitness Coach / Gym
I went over my calories for 3 days by 500-700 🥺,-0.4,Negative,Fitness Coach / Gym
buritto bowls are amazing. I just don't use beans because they upset my stomach,0.5,Positive,Fitness Coach / Gym
I can’t find the recipe on Instagram￼,-0.1,Neutral,Fitness Coach / Gym
cmon I keep saying not interested but she just keeps showing up on my fyp WHYYY??!!,-0.4,Negative,Fitness Coach / Gym
didn't see the recipe on IG. is it a post or reel?,-0.1,Neutral,Fitness Coach / Gym
Hi🥰🥰,0.4,Positive,Fitness Coach / Gym
Coooool,0.3,Positive,Fitness Coach / Gym
I love these type of bowls! It’s like chipotle or qdoba,0.6,Positive,Fitness Coach / Gym
no rice if keto but this does work 😅,0.1,Neutral,Fitness Coach / Gym
i'm commenting to stay on weight loss tiktok,0,Neutral,Fitness Coach / Gym
k going to chipotle,0.2,Neutral,Fitness Coach / Gym
i thought of this yesterday and now that I hear u say it I’m def gonna do it lol,0.5,Positive,Fitness Coach / Gym
What if your parents don’t listen and only buy junk food and won’t allow healthy food for weight loss,-0.3,Negative,Fitness Coach / Gym
Hi on the other video when someone said do you live in America you said no but you wished you still did why?,0,Neutral,Fitness Coach / Gym
can u doon here i don't have insta,0,Neutral,Fitness Coach / Gym
thank you,0.2,Neutral,Fitness Coach / Gym
What if your under 13? And want to lose wait xx,-0.1,Neutral,Fitness Coach / Gym
It sounds so good☺️💕💕,0.7,Positive,Fitness Coach / Gym
I don’t see the recipe !,-0.1,Neutral,Fitness Coach / Gym
Can I skip the avocado and the beans because I am allergic to them...,0,Neutral,Fitness Coach / Gym
Tysm!!!,0.3,Positive,Fitness Coach / Gym
Lexie what do I do. I’m 5’1 and I’m literally eating nothing,-0.5,Negative,Fitness Coach / Gym
Can you make one for tweens,0,Neutral,Fitness Coach / Gym
First thank you so much I'm almost a teenager and I need this,0.5,Positive,Fitness Coach / Gym
i don't choose what groceries are at home tho,-0.1,Neutral,Fitness Coach / Gym
Is tea bad for u?,0,Neutral,Fitness Coach / Gym
I don’t eat lunch at school because I eat when I get home,0,Neutral,Fitness Coach / Gym
waittt should teenagers rly be losing weight :(,-0.4,Negative,Fitness Coach / Gym
can you post the receipe ??,0.2,Neutral,Fitness Coach / Gym
so chipotle?😄,0.3,Positive,Fitness Coach / Gym
Can you eat it everyday?,0,Neutral,Fitness Coach / Gym
I don't have instagram 😔,-0.3,Negative,Fitness Coach / Gym
i gotta try this one day,0.4,Positive,Fitness Coach / Gym
What if your allergic to beans? 😅😅,0.1,Neutral,Fitness Coach / Gym
Is your frosty good for weight loss? If so what is the recipe?,0.2,Neutral,Fitness Coach / Gym
But I don’t like beans or rice or avacado so idk what to do,-0.2,Neutral,Fitness Coach / Gym
Sry I don’t want to be mean but why is ur face so red,-0.3,Negative,Fitness Coach / Gym
Where is the recepie?,0,Neutral,Fitness Coach / Gym
When did you start working out?,0,Neutral,Fitness Coach / Gym
hi I have teens that want to lose weight please share meal,0.2,Neutral,Fitness Coach / Gym
heyyy,0.1,Neutral,Fitness Coach / Gym
you're literally my favorite,0.6,Positive,Fitness Coach / Gym
How long does it take until you start seeing results? I’m 4 weeks in and no difference should i be worried,-0.1,Neutral,Fitness Coach / Gym
hii🥰🥰,0.5,Positive,Fitness Coach / Gym
Early hi,0.1,Neutral,Fitness Coach / Gym
My mom makes this every week lol,0.3,Positive,Fitness Coach / Gym
can i use eggs for protein because i don't like meet?,0,Neutral,Fitness Coach / Gym
can you do a salad so it’s easier I’m a very picky eater m.,0,Neutral,Fitness Coach / Gym
@m0rissaa there lol,0,Neutral,Fitness Coach / Gym
@p_h_i_l_l_i_p_a,0,Neutral,Fitness Coach / Gym
@kyliecrouse88,0,Neutral,Fitness Coach / Gym
@xxrubyjacksonxx,0,Neutral,Fitness Coach / Gym
@wavvyyyydana06,0,Neutral,Fitness Coach / Gym
🥰🥰🥰,0.6,Positive,Fitness Coach / Gym
@fboyval21,0,Neutral,Fitness Coach / Gym
@leiila.mt,0,Neutral,Fitness Coach / Gym
@charlysendeckii,0,Neutral,Fitness Coach / Gym
@lifehatesbree,0,Neutral,Fitness Coach / Gym
@jesskr_,0,Neutral,Fitness Coach / Gym
this girl gives horrible advice tho tbh,-0.5,Negative,Fitness Coach / Gym
how would I do this on a budget though? 😬🤦🏻‍♀️,-0.1,Neutral,Fitness Coach / Gym
When ur vegan gluten-free and food sucks for losing weight. I bloody live on potato,-0.3,Negative,Fitness Coach / Gym
But is it good for pregnat women who don’t want to gain weight I need help,0,Neutral,Fitness Coach / Gym
what about if you’re a teen who wants to gain weight?,0,Neutral,Fitness Coach / Gym
I've been trying to loose fat for 3 months with no progress. I workout almost everyday and eat in a calorie deficit. Can I have some help?,-0.2,Neutral,Fitness Coach / Gym
"i feel like i don’t need to los weight but belly fat, what will help with that",0,Neutral,Fitness Coach / Gym
i wouldn’t encourage teenagers to restrict their eating...,-0.3,Negative,Fitness Coach / Gym
is this suitable if you just wanna start being more healthy?,0,Neutral,Fitness Coach / Gym
"Hi, any tips on how to lose weight, but as a picky eater. Since i was a child i would eat unhealthy, and its hard to try something new",-0.1,Neutral,Fitness Coach / Gym
i j make a sandwhich n double the serving of turkey,0,Neutral,Fitness Coach / Gym
What about a salad with bacon bits for lunch or something like that?,0.2,Neutral,Fitness Coach / Gym
@gianna_mags11 I wonder how her Applebee’s dinner was,0,Neutral,Fitness Coach / Gym
@rangaaaaaaaaaaaaaaaa see eating is good for you and you can lose weight while eating,0.3,Positive,Fitness Coach / Gym
those are way to high calorie foods. maybe try out having 80 grams of oats mixed with 30 grams of protein powder for breakfast its 380ish calories,-0.3,Negative,Fitness Coach / Gym
"pleaseeeee do more videos on how to gain weight, i wanna gain not lose",0.2,Neutral,Fitness Coach / Gym
I need to gain weight 😭,-0.1,Neutral,Fitness Coach / Gym
where is it on instagram ?,0,Neutral,Fitness Coach / Gym
Well done kostas xx,0.5,Positive,Other
🥰🥰🥰 Fabulous,0.6,Positive,Other
"Amazing, you've come so far ❤️",0.7,Positive,Other
well done you 👏,0.4,Positive,Other
well done mate🥰,0.5,Positive,Other
Amazing work 👏😎😎,0.6,Positive,Other
💙 Smashing life!,0.7,Positive,Other
👏👏👏,0.4,Positive,Other
❤️,0.5,Positive,Other
that's impressive...but can you still twerk?? 😁🥰,0.4,Positive,Other
Starting today i just bought it! <3,0.5,Positive,Fitness Coach / Gym
I went from 88kg to 70kg my goal is 63kg (I’m 168cm),0.4,Positive,Fitness Coach / Gym
just got it🙏🏼,0.5,Positive,Fitness Coach / Gym
Starting today,0.1,Neutral,Fitness Coach / Gym
someone remind me on thrusday to purchase!!,0.1,Neutral,Fitness Coach / Gym
bought it!!! starting tomorrow 🤞🏻🤞🏻🤞🏻,0.5,Positive,Fitness Coach / Gym
as soon as a get money 🙏,0,Neutral,Fitness Coach / Gym
is this a sign to buy it you have been popping up on my fyp🤔,0.1,Neutral,Fitness Coach / Gym
i bought it and i underestimated it 😭 i was dead like 5 minutes into the first workout,-0.4,Negative,Fitness Coach / Gym
OMG I NEED IT,0.8,Positive,Fitness Coach / Gym
where can i find it !!!!,0.1,Neutral,Fitness Coach / Gym
I already bought it and i will be using it 🫶🏾,0.6,Positive,Fitness Coach / Gym
"damn, it's ₱314.38 in peso but waiting to get my money!! can't wait!!",0.3,Positive,Fitness Coach / Gym
Will definitely try this and come back,0.4,Positive,Fitness Coach / Gym
I only wanna lose 10 😭,-0.3,Negative,Fitness Coach / Gym
WHERE IS THE ROUTINE NEED ASF,0.2,Neutral,Fitness Coach / Gym
just started your routine ! it's haaaard but I'm already seeing progress ✨,0.5,Positive,Fitness Coach / Gym
trust me it works but I thought I‘ll die every time 😭,0.1,Neutral,Fitness Coach / Gym
Please remind me to buy this guys 💗,0.5,Positive,Fitness Coach / Gym
FINE ILL BUY IT,0.6,Positive,Fitness Coach / Gym
5 euros is crazy cheap thank you love!! 😚,0.7,Positive,Fitness Coach / Gym
Starting tomorrow 🫡,0.3,Positive,Fitness Coach / Gym
"Girl I just bought it for this amount of info I would sell it for 50, it’s sooo goooddd😍",0.9,Positive,Fitness Coach / Gym
"I bought it! I'm starting a notebook with self care tips, motivation, meal ideas, and more. I'm so excited to start the plan tmr 💞",0.8,Positive,Fitness Coach / Gym
i just bought it,0.2,Neutral,Fitness Coach / Gym
I’ll buy it next week when I get paid!!!,0.3,Positive,Fitness Coach / Gym
I just bought it but i have a question. Very excited to try it out🙏😽 Where can i text you?,0.5,Positive,Fitness Coach / Gym
starting Monday let me cook [proud],0.4,Positive,Fitness Coach / Gym
@luci show yer parents this- working out is the key to weight loss honestly,0.2,Neutral,Fitness Coach / Gym
i’m gonna buy it rn!,0.6,Positive,Fitness Coach / Gym
just bought it and will start tomorrow!!!!,0.7,Positive,Fitness Coach / Gym
I wishhh,-0.1,Neutral,Fitness Coach / Gym
"GIRLLLL I REMEMBER UR FIRST VID APPEAR ON MY FYP A FEW MONTHS AGO, I WAS SO EXCITED TO SEE THE RESULTS CONGRATS QUEEN!!!!!",0.9,Positive,Fitness Coach / Gym
you are SO pretty omg,0.8,Positive,Fitness Coach / Gym
i’m wearing the same pj in the first clip rn,0.1,Neutral,Fitness Coach / Gym
GIVE IT,0.3,Positive,Fitness Coach / Gym
OH MY GOD GURL YESSSSS ATE,0.6,Positive,Fitness Coach / Gym
"Girl, you are great 🥰",0.5,Positive,Fitness Coach / Gym
I’m so proud of you! And all that work paid off and you look so pretty! But you ofc still looked pretty then!🌷🌷,0.7,Positive,Fitness Coach / Gym
you looked beautiful before and after,0.4,Positive,Fitness Coach / Gym
WE HAVE THE SAME PYJAMA ❤😭,0.5,Positive,Fitness Coach / Gym
GIRL😍,0.4,Positive,Fitness Coach / Gym
Great job,0.3,Positive,Fitness Coach / Gym
@💞 MAN KANN IMMERNOCH ESSEN WAS MAN WILL?? 🧍🏽‍♀️,0,Neutral,Fitness Coach / Gym
@Amy these are all over my fyp is it a sign? (If so donate pls😭),-0.1,Neutral,Fitness Coach / Gym
@Sarah^^ Io incerc gen săpt viitoare(creca uit but nvm),0,Neutral,Fitness Coach / Gym
🎀,0.1,Neutral,Fitness Coach / Gym
@Ummsir @rrr I just bought it 😭,0.2,Neutral,Fitness Coach / Gym
@𝗖𝗜𝗟𝗨𝗞𝗕𝗔𝗔 kapan ya,0,Neutral,Fitness Coach / Gym
@Aruijin,0,Neutral,Fitness Coach / Gym
@lilj🐮,0,Neutral,Fitness Coach / Gym
@h3arts4_reese,0,Neutral,Fitness Coach / Gym
@shem,0,Neutral,Fitness Coach / Gym
@♡ pookie😌,0.2,Neutral,Fitness Coach / Gym
🥰🥰🥰,0.6,Positive,Fitness Coach / Gym
@𝐤𝐲𝐚💆🏽‍♀️🪩📿🕺🏽,0,Neutral,Fitness Coach / Gym
💖,0.4,Positive,Fitness Coach / Gym
@Neverondnd💆🏽‍♀️,0,Neutral,Fitness Coach / Gym
@Silvia Torres Santia 🧚‍♀️🧚‍♀️,0,Neutral,Fitness Coach / Gym
@go away @Olivia,-0.5,Negative,Fitness Coach / Gym
@sarah ♡︎ 🍉,0.3,Positive,Fitness Coach / Gym
😌😌😌,0.2,Neutral,Fitness Coach / Gym
🤭🤭🤭,0.3,Positive,Fitness Coach / Gym
@Aliegha21_🦋,0.1,Neutral,Fitness Coach / Gym
@rere ✧,0.1,Neutral,Fitness Coach / Gym
@♡ Nathalia ♡,0.1,Neutral,Fitness Coach / Gym
@Jacob O.M,0.1,Neutral,Fitness Coach / Gym
😳😳😳,0.2,Neutral,Fitness Coach / Gym
Bro I barely got past the warmup and my legs were already hurting,-0.3,Negative,Fitness Coach / Gym
Like this comment so i can get back to this,0,Neutral,Fitness Coach / Gym
Im starting tomorow remind me,0,Neutral,Fitness Coach / Gym
please anyone remind me 😊,0.3,Positive,Fitness Coach / Gym
https://stan.store/mynameisuccess (copy and paste into google or safari) also in her TikTok and insta bio!,0,Neutral,Fitness Coach / Gym
Someone remind me,0,Neutral,Fitness Coach / Gym
i bought this and its lowkey so good,0.6,Positive,Fitness Coach / Gym
😘😘😘,0.5,Positive,Fitness Coach / Gym
"just bought it, i hope it helps me because i’m tired of being fat☺️",0.2,Neutral,Fitness Coach / Gym
@Chloe girl I'm not one to advertise but I bought her work out routine.. the sheer detail!? and its enough so u ain't overdoing it to the point you cba 🤭,0.4,Positive,Fitness Coach / Gym
@yas 🤍 guys i need money,-0.1,Neutral,Fitness Coach / Gym
YOU STILL KEPT THE CHEST AFTER?!,0,Neutral,Fitness Coach / Gym
You look so great in 66kg whattt??? 😭😭,0.5,Positive,Fitness Coach / Gym
"Looking great mate, wanna be like you.",0.6,Positive,Influencer
strong man 💯,0.5,Positive,Influencer
amazing,0.7,Positive,Influencer
@lu1s_we du in 3 monaten,0,Neutral,Influencer
bro be looking fire 🔥🔥🔥,0.6,Positive,Influencer
This is inspirational bro thanks,0.5,Positive,Influencer
Im 165cm 75 kg i gain 7 kg muscles and i‘m like skinny fat what shood i do,-0.1,Neutral,Influencer
persönlich fand ich den ersten Teil auch nicht schlecht aber man sieht deine harte Arbeit sehr nur bloß Antwortest du bei insta mir nie zurück,-0.3,Negative,Influencer
sind die ersten Aufnahmen echt?,0,Neutral,Influencer
Can you answer me in dm?,0,Neutral,Influencer
that looks amazing 👍💪,0.7,Positive,Influencer
You look fab🥰 how did you manage?🤩,0.8,Positive,Influencer
Damnn consistency paying off that’s well good!,0.7,Positive,Influencer
you look fab!!! how did you shift that in a week?,0.8,Positive,Influencer
How ?,0,Neutral,Influencer
how did you do that,0,Neutral,Influencer
That’s impressive,0.5,Positive,Influencer
Awesome job 👏 well done 😁,0.9,Positive,Influencer
Well done,0.4,Positive,Influencer
Great work! Also has anyone said you look abit like Lucy bronze? Or just me,0.5,Positive,Influencer
How,0,Neutral,Influencer
@oliver,0,Neutral,Influencer
👏🏽👏🏽,0.3,Positive,Influencer
😁,0.5,Positive,Influencer
💖💖💖,0.6,Positive,Influencer
❤️❤️❤️,0.5,Positive,Influencer
👏👏👏,0.4,Positive,Influencer
🔥,0.5,Positive,Influencer
👏🏻💪🏻🎉,0.5,Positive,Influencer
Side by side would show the results better.,0,Neutral,Influencer
"@Jason mclaurin granted me financial freedom, I don't longer live from paycheck to Paycheck or being tied down to a traditional 9-5 jobs.",0.8,Positive,Influencer
Bravo 👏👏👏👏👏👏👏👏👏👏👏👏👏👍👍👍👍👍 French,0.9,Positive,Influencer
ur a machine laura 😂,0.3,Positive,Influencer
Must have been a massive poo,-0.3,Negative,Influencer
😂😂😂,0.3,Positive,Influencer
Your stomach in the first video looked like Wallace head from Wallace and gromit Amazing transformation tho you look great,0.6,Positive,Influencer
lenme eyp 😭,-0.2,Neutral,Fitness Coach / Gym
Can u post her routine I been trying to lose weight myself me and her are the same age,0.1,Neutral,Fitness Coach / Gym
Don’t be doing that to her lol 😂,0.2,Neutral,Fitness Coach / Gym
I love this 🥺 make me think of what my dad would be like,0.5,Positive,Fitness Coach / Gym
okay but where are her pjs from !? 😅,0.1,Neutral,Fitness Coach / Gym
My dad scared all the boys away had to wait til,0,Neutral,Fitness Coach / Gym
Early,0,Neutral,Fitness Coach / Gym
Where did u get her pjs !?🩷🩷😍,0.3,Positive,Fitness Coach / Gym
Now why you do her like that😭🤣🫶🏼,0.4,Positive,Fitness Coach / Gym
Lmao my dad was the same way,0.3,Positive,Fitness Coach / Gym
